"","STUDY_ID","ABUNDANCE","BIOMAS","YEAR","LATITUDE","LONGITUDE","PLOT","DEPTH","SAMPLE_DESC","GENUS_SPECIES","Island"
"1",60,10,0,1982,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1982_1_1_1982","Abarema macradenia","Barro Colorado"
"2",60,10,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Abarema macradenia","Barro Colorado"
"3",60,165,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Xylosma oligandra","Barro Colorado"
"4",60,245,0,1990,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1990_1_1_1990","Virola nobilis","Barro Colorado"
"5",60,79,0,1995,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1995_1_1_1995","Turpinia occidentalis","Barro Colorado"
"6",60,11972,0,2000,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_2000_1_1_2000","Trichilia tuberculata","Barro Colorado"
"7",60,211,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Zanthoxylum acuminatum","Barro Colorado"
"8",60,2080,0,1990,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1990_1_1_1990","Virola sebifera","Barro Colorado"
"9",60,719,0,1995,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1995_1_1_1995","Unonopsis pittieri","Barro Colorado"
"10",60,5,0,2000,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_2000_1_1_2000","Trichospermum galeottii","Barro Colorado"
"11",60,1562,0,1982,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1982_1_1_1982","Acalypha diversifolia","Barro Colorado"
"12",60,1200,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Acalypha diversifolia","Barro Colorado"
"13",60,249,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Zanthoxylum ekmanii","Barro Colorado"
"14",60,80,0,1990,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1990_1_1_1990","Vismia baccifera","Barro Colorado"
"15",60,11,0,1995,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1995_1_1_1995","Urera baccifera","Barro Colorado"
"16",60,258,0,2000,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_2000_1_1_2000","Triplaris cumingiana","Barro Colorado"
"17",60,79,0,1982,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1982_1_1_1982","Acalypha macrostachya","Barro Colorado"
"18",60,66,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Acalypha macrostachya","Barro Colorado"
"19",60,243,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Zanthoxylum panamense","Barro Colorado"
"20",60,3,0,1990,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1990_1_1_1990","Vismia billbergiana","Barro Colorado"
"21",60,12,0,1995,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1995_1_1_1995","Vachellia melanoceras","Barro Colorado"
"22",60,175,0,2000,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_2000_1_1_2000","Trophis caucana","Barro Colorado"
"23",60,346,0,1982,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1982_1_1_1982","Adelia triloba","Barro Colorado"
"24",60,315,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Adelia triloba","Barro Colorado"
"25",60,1,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Zanthoxylum setulosum","Barro Colorado"
"26",60,28,0,1990,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1990_1_1_1990","Vochysia ferruginea","Barro Colorado"
"27",60,50,0,1995,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1995_1_1_1995","Virola multiflora","Barro Colorado"
"28",60,286,0,2000,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_2000_1_1_2000","Trophis racemosa","Barro Colorado"
"29",60,136,0,1982,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1982_1_1_1982","Aegiphila panamensis","Barro Colorado"
"30",60,126,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Aegiphila panamensis","Barro Colorado"
"31",60,41,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Zuelania guidonia","Barro Colorado"
"32",60,1045,0,1990,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1990_1_1_1990","Xylopia macranth","Barro Colorado"
"33",60,225,0,1995,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1995_1_1_1995","Virola nobilis","Barro Colorado"
"34",60,72,0,2000,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_2000_1_1_2000","Turpinia occidentalis","Barro Colorado"
"35",60,385,0,1982,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1982_1_1_1982","Alchornea costaricensis","Barro Colorado"
"36",60,314,0,1985,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1985_1_1_1985","Alchornea costaricensis","Barro Colorado"
"37",60,11,0,1990,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1990_1_1_1990","Abarema macradenia","Barro Colorado"
"38",60,145,0,1990,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1990_1_1_1990","Xylosma oligandra","Barro Colorado"
"39",60,1860,0,1995,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1995_1_1_1995","Virola sebifera","Barro Colorado"
"40",60,658,0,2000,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_2000_1_1_2000","Unonopsis pittieri","Barro Colorado"
"41",60,2,0,1982,9.1521,-79.8465,NA,NA,"9.152100_-79.846500_Panama_Gatun_BarroColorado_1982_1_1_1982","Alchornea latifolia","Barro Colorado"
